ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T19:00:20.197Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,142,463
2026-09-22T19:00:20.197Z,2vu,mailpit-dd68cc87d-k4fq6,7,53
2026-09-22T19:00:35.660Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,646,565
2026-09-22T19:00:35.660Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,747,17
2026-09-22T19:00:35.660Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,92,63
2026-09-22T19:00:35.660Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T19:00:35.660Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,139,526
2026-09-22T19:00:35.660Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,227,527
2026-09-22T19:00:35.660Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,178,467
2026-09-22T19:00:35.660Z,2vu,mailpit-dd68cc87d-k4fq6,7,53
2026-09-22T19:00:51.138Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,755,578
2026-09-22T19:00:51.138Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,813,17
2026-09-22T19:00:51.138Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,85,64
2026-09-22T19:00:51.138Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T19:00:51.138Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,216,524
2026-09-22T19:00:51.138Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,58,526
2026-09-22T19:00:51.138Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,178,467
2026-09-22T19:00:51.138Z,2vu,mailpit-dd68cc87d-k4fq6,6,66
2026-09-22T19:01:06.610Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,709,582
2026-09-22T19:01:06.610Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,576,17
2026-09-22T19:01:06.610Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,87,64
2026-09-22T19:01:06.610Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T19:01:06.610Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,212,525
2026-09-22T19:01:06.610Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,245,526
2026-09-22T19:01:06.610Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,118,464
2026-09-22T19:01:06.610Z,2vu,mailpit-dd68cc87d-k4fq6,6,66
2026-09-22T19:01:22.064Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,676,584
2026-09-22T19:01:22.064Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,692,17
2026-09-22T19:01:22.064Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,88,64
2026-09-22T19:01:22.064Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,16,11
2026-09-22T19:01:22.064Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,283,531
2026-09-22T19:01:22.064Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,263,531
2026-09-22T19:01:22.064Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,103,465
2026-09-22T19:01:22.064Z,2vu,mailpit-dd68cc87d-k4fq6,7,66
2026-09-22T19:01:37.480Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,695,589
2026-09-22T19:01:37.480Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,734,17
2026-09-22T19:01:37.480Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,86,61
2026-09-22T19:01:37.480Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,17,10
2026-09-22T19:01:37.480Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,283,531
2026-09-22T19:01:37.480Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,238,529
2026-09-22T19:01:37.480Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,67,464
2026-09-22T19:01:37.480Z,2vu,mailpit-dd68cc87d-k4fq6,6,66
2026-09-22T19:01:52.894Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,759,587
2026-09-22T19:01:52.894Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,534,17
2026-09-22T19:01:52.894Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,98,60
2026-09-22T19:01:52.894Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T19:01:52.894Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,211,556
2026-09-22T19:01:52.894Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,129,528
2026-09-22T19:01:52.894Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,67,464
2026-09-22T19:01:52.894Z,2vu,mailpit-dd68cc87d-k4fq6,5,66
2026-09-22T19:02:08.294Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,806,610
2026-09-22T19:02:08.294Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,704,17
2026-09-22T19:02:08.294Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,89,60
2026-09-22T19:02:08.294Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,19,10
2026-09-22T19:02:08.294Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,72,529
2026-09-22T19:02:08.294Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,141,528
2026-09-22T19:02:08.294Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,247,467
2026-09-22T19:02:08.294Z,2vu,mailpit-dd68cc87d-k4fq6,6,66
2026-09-22T19:02:23.678Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,746,598
2026-09-22T19:02:23.678Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,697,17
2026-09-22T19:02:23.678Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,89,64
2026-09-22T19:02:23.678Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,20,10
2026-09-22T19:02:23.678Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,93,529
2026-09-22T19:02:23.678Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,273,529
2026-09-22T19:02:23.678Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,247,468
2026-09-22T19:02:23.678Z,2vu,mailpit-dd68cc87d-k4fq6,6,67
2026-09-22T19:02:39.116Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,721,592
2026-09-22T19:02:39.116Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,872,17
2026-09-22T19:02:39.116Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,82,64
2026-09-22T19:02:39.116Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,12,10
2026-09-22T19:02:39.116Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,93,529
2026-09-22T19:02:39.116Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,165,533
2026-09-22T19:02:39.116Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,236,467
2026-09-22T19:02:39.116Z,2vu,mailpit-dd68cc87d-k4fq6,8,68
2026-09-22T19:02:54.552Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,752,629
2026-09-22T19:02:54.552Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,519,32
2026-09-22T19:02:54.552Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,82,64
2026-09-22T19:02:54.552Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,20,10
2026-09-22T19:02:54.552Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,191,529
2026-09-22T19:02:54.552Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,165,533
2026-09-22T19:02:54.552Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,144,471
2026-09-22T19:02:54.552Z,2vu,mailpit-dd68cc87d-k4fq6,6,68
2026-09-22T19:03:10.000Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,722,598
2026-09-22T19:03:10.000Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,887,241
2026-09-22T19:03:10.000Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,94,61
2026-09-22T19:03:10.000Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T19:03:10.000Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,113,529
2026-09-22T19:03:10.000Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,225,530
2026-09-22T19:03:10.000Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,144,471
